Rregion,new_deaths,cumulative_deaths
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,0,0
South West,1,1
South West,0,1
South West,0,1
South West,1,2
South West,0,2
South West,0,2
South West,2,4
South West,2,6
South West,4,10
South West,3,13
South West,7,20
South West,7,27
South West,8,35
South West,7,42
South West,9,51
South West,11,62
South West,13,75
South West,21,96
South West,18,114
South West,23,137
South West,23,160
South West,21,181
South West,23,204
South West,31,235
South West,42,277
South West,32,309
South West,35,344
South West,39,383
South West,47,430
South West,24,454
South West,46,500
South West,43,543
South West,23,566
South West,28,594
South West,24,618
South West,32,650
South West,29,679
South West,33,712
South West,25,737
South West,31,768
South West,26,794
South West,26,820
South West,23,843
South West,17,860
South West,21,881
South West,16,897
South West,27,924
South West,17,941
South West,18,959
South West,15,974
South West,28,1002
South West,7,1009
South West,7,1016
South West,13,1029
South West,21,1050
South West,19,1069
South West,20,1089
South West,17,1106
South West,8,1114
South West,14,1128
South West,8,1136
South West,10,1146
South West,7,1153
South West,8,1161
South West,8,1169
South West,6,1175
South West,5,1180
South West,10,1190
South West,4,1194
South West,8,1202
South West,2,1204
South West,13,1217
South West,10,1227
South West,7,1234
South West,6,1240
South West,8,1248
South West,11,1259
South West,7,1266
South West,10,1276
South West,7,1283
South West,3,1286
South West,5,1291
South West,8,1299
South West,2,1301
South West,11,1312
South West,3,1315
South West,3,1318
South West,1,1319
South West,3,1322
South West,4,1326
South West,0,1326
South West,1,1327
South West,3,1330
South West,3,1333
South West,3,1336
South West,0,1336
South West,2,1338
South West,5,1343
South West,0,1343
South West,0,1343
South West,1,1344
South West,2,1346
South West,0,1346
South West,1,1347
South West,1,1348
South West,1,1349
South West,0,1349
South West,3,1352
South West,0,1352
South West,0,1352
South West,1,1353
South West,1,1354
South West,0,1354
South West,0,1354
South West,0,1354
South West,1,1355
South West,1,1356
South West,1,1357
South West,1,1358
South West,2,1360
South West,0,1360
South West,1,1361
South West,0,1361
South West,0,1361
South West,1,1362
South West,0,1362
South West,0,1362
South West,1,1363
South West,1,1364
South West,0,1364
South West,0,1364
South West,1,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,0,1365
South West,1,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,0,1366
South West,1,1367
South West,0,1367
South West,0,1367
South West,2,1369
South West,0,1369
South West,0,1369
South West,1,1370
South West,0,1370
South West,0,1370
South West,0,1370
South West,0,1370
South West,1,1371
South West,0,1371
South West,1,1372
South West,1,1373
South West,0,1373
South West,0,1373
South West,0,1373
South West,0,1373
South West,0,1373
South West,1,1374
South West,0,1374
South West,0,1374
South West,0,1374
South West,0,1374
South West,1,1375
South West,0,1375
South West,0,1375
South West,0,1375
South West,0,1375
South West,1,1376
South West,0,1376
South West,1,1377
South West,0,1377
South West,1,1378
South West,1,1379
South West,0,1379
South West,1,1380
South West,0,1380
South West,0,1380
South West,0,1380
South West,2,1382
South West,0,1382
South West,0,1382
South West,0,1382
South West,0,1382
South West,0,1382
South West,0,1382
South West,0,1382
South West,1,1383
South West,0,1383
South West,0,1383
South West,0,1383
South West,1,1384
South West,0,1384
South West,1,1385
South West,1,1386
South West,0,1386
South West,4,1390
South West,2,1392
South West,0,1392
South West,3,1395
South West,1,1396
South West,2,1398
South West,8,1406
South West,2,1408
South West,2,1410
South West,3,1413
South West,6,1419
South West,6,1425
South West,5,1430
South West,5,1435
South West,5,1440
South West,7,1447
South West,6,1453
South West,8,1461
South West,11,1472
South West,9,1481
South West,6,1487
South West,5,1492
South West,11,1503
South West,9,1512
South West,9,1521
South West,6,1527
South West,11,1538
South West,10,1548
South West,10,1558
South West,12,1570
South West,6,1576
South West,13,1589
South West,17,1606
South West,10,1616
South West,8,1624
South West,19,1643
South West,19,1662
South West,17,1679
South West,26,1705
South West,15,1720
South West,26,1746
South West,25,1771
South West,26,1797
South West,15,1812
South West,20,1832
South West,25,1857
South West,16,1873
South West,22,1895
South West,36,1931
South West,17,1948
South West,23,1971
South West,19,1990
South West,17,2007
South West,15,2022
South West,21,2043
South West,17,2060
South West,14,2074
South West,16,2090
South West,19,2109
South West,22,2131
South West,23,2154
South West,21,2175
South West,20,2195
South West,20,2215
South West,21,2236
South West,20,2256
South West,10,2266
South West,26,2292
South West,13,2305
South West,22,2327
South West,19,2346
South West,22,2368
South West,14,2382
South West,21,2403
South West,18,2421
South West,20,2441
South West,26,2467
South West,24,2491
South West,22,2513
South West,21,2534
South West,17,2551
South West,29,2580
South West,33,2613
South West,26,2639
South West,29,2668
South West,33,2701
South West,32,2733
South West,28,2761
South West,36,2797
South West,34,2831
South West,28,2859
South West,36,2895
South West,40,2935
South West,56,2991
South West,44,3035
South West,39,3074
South West,51,3125
South West,58,3183
South West,46,3229
South West,48,3277
South West,48,3325
South West,66,3391
South West,65,3456
South West,64,3520
South West,55,3575
South West,60,3635
South West,64,3699
South West,47,3746
South West,51,3797
South West,54,3851
South West,43,3894
South West,40,3934
South West,37,3971
South West,30,4001
South West,39,4040
South West,33,4073
South West,35,4108
South West,29,4137
South West,41,4178
South West,38,4216
South West,34,4250
South West,33,4283
South West,20,4303
South West,22,4325
South West,33,4358
South West,30,4388
South West,22,4410
South West,24,4434
South West,13,4447
South West,21,4468
South West,23,4491
South West,22,4513
South West,17,4530
South West,18,4548
South West,13,4561
South West,10,4571
South West,16,4587
South West,14,4601
South West,8,4609
South West,10,4619
South West,14,4633
South West,15,4648
South West,8,4656
South West,4,4660
South West,7,4667
South West,4,4671
South West,9,4680
South West,2,4682
South West,11,4693
South West,7,4700
South West,6,4706
South West,4,4710
South West,3,4713
South West,6,4719
South West,4,4723
South West,3,4726
South West,3,4729
South West,4,4733
South West,1,4734
South West,3,4737
South West,1,4738
South West,5,4743
South West,2,4745
South West,3,4748
South West,1,4749
South West,3,4752
South West,2,4754
South West,1,4755
South West,1,4756
South West,1,4757
South West,1,4758
South West,2,4760
South West,1,4761
South West,0,4761
South West,2,4763
South West,1,4764
South West,4,4768
South West,0,4768
South West,4,4772
South West,2,4774
South West,2,4776
South West,1,4777
South West,2,4779
South West,2,4781
South West,1,4782
South West,0,4782
South West,0,4782
South West,0,4782
South West,2,4784
South West,1,4785
South West,0,4785
South West,2,4787
South West,3,4790
South West,4,4794
South West,1,4795
South West,0,4795
South West,0,4795
South West,1,4796
South West,1,4797
South West,2,4799
South West,1,4800
South West,2,4802
South West,0,4802
South West,2,4804
South West,1,4805
South West,2,4807
South West,0,4807
South West,0,4807
South West,1,4808
South West,1,4809
South West,1,4810
South West,0,4810
South West,0,4810
South West,0,4810
South West,0,4810
South West,0,4810
South West,1,4811
South West,0,4811
South West,0,4811
South West,0,4811
South West,1,4812
South West,0,4812
South West,1,4813
South West,0,4813
South West,0,4813
South West,0,4813
South West,0,4813
South West,0,4813
South West,0,4813
South West,0,4813
South West,0,4813
South West,1,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,0,4814
South West,1,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,0,4815
South West,1,4816
South West,0,4816
South West,0,4816
South West,0,4816
South West,0,4816
South West,2,4818
South West,0,4818
South West,2,4820
South West,0,4820
South West,1,4821
South West,0,4821
South West,0,4821
South West,1,4822
South West,2,4824
South West,1,4825
South West,0,4825
South West,0,4825
South West,2,4827
South West,0,4827
South West,1,4828
South West,1,4829
South West,1,4830
South West,4,4834
South West,0,4834
South West,2,4836
South West,1,4837
South West,0,4837
South West,5,4842
South West,4,4846
South West,2,4848
South West,0,4848
South West,1,4849
South West,5,4854
South West,8,4862
South West,2,4864
South West,4,4868
South West,1,4869
South West,4,4873
South West,4,4877
South West,1,4878
South West,3,4881
South West,3,4884
South West,6,4890
South West,5,4895
South West,6,4901
South West,4,4905
South West,2,4907
South West,5,4912
South West,4,4916
South West,7,4923
South West,5,4928
South West,5,4933
South West,2,4935
South West,6,4941
South West,2,4943
South West,6,4949
South West,2,4951
South West,3,4954
South West,5,4959
South West,6,4965
South West,7,4972
South West,7,4979
South West,6,4985
South West,10,4995
South West,8,5003
South West,8,5011
South West,6,5017
South West,10,5027
South West,7,5034
South West,8,5042
South West,11,5053
South West,8,5061
South West,5,5066
South West,7,5073
South West,8,5081
South West,6,5087
South West,4,5091
South West,7,5098
South West,12,5110
South West,10,5120
South West,8,5128
South West,9,5137
South West,6,5143
South West,9,5152
South West,5,5157
South West,7,5164
South West,9,5173
South West,6,5179
South West,6,5185
South West,9,5194
South West,9,5203
South West,3,5206
South West,6,5212
South West,2,5214
South West,8,5222
South West,8,5230
South West,9,5239
South West,10,5249
South West,7,5256
South West,8,5264
South West,5,5269
South West,2,5271
South West,9,5280
South West,8,5288
South West,6,5294
South West,6,5300
South West,7,5307
South West,4,5311
South West,4,5315
South West,4,5319
South West,3,5322
South West,7,5329
South West,4,5333
South West,4,5337
South West,5,5342
South West,5,5347
South West,8,5355
South West,9,5364
South West,7,5371
South West,7,5378
South West,6,5384
South West,3,5387
South West,4,5391
South West,10,5401
South West,9,5410
South West,14,5424
South West,3,5427
South West,8,5435
South West,19,5454
South West,10,5464
South West,8,5472
South West,11,5483
South West,7,5490
South West,9,5499
South West,13,5512
South West,11,5523
South West,10,5533
South West,10,5543
South West,12,5555
South West,10,5565
South West,7,5572
South West,7,5579
South West,13,5592
South West,10,5602
South West,7,5609
South West,5,5614
South West,4,5618
South West,8,5626
South West,12,5638
South West,7,5645
South West,7,5652
South West,5,5657
South West,6,5663
South West,6,5669
South West,5,5674
South West,5,5679
South West,1,5680
